title,property_type,bedrooms,bathrooms,monthly_rent,available_from,is_available,address
"Elegant 3 Bed Apartment in Badegaun 9, Sindhupalchowk",apartment,3,2,11444,9/17/2025,FALSE,"Badegaun 9, Sindhupalchowk"
"Bright 3 Bed Apartment in Madhabaliya 4, Kotihawa, Rupandehi",apartment,3,3,13718,7/15/2025,TRUE,"Madhabaliya 4, Kotihawa, Rupandehi"
"Cozy Room in Phalebas, Parbat",room,1,1,8118,7/23/2025,TRUE,"Phalebas, Parbat"
"Spacious 3 Bed House in Dharan, Sunsari",house,3,3,16212,7/10/2025,FALSE,"Dharan, Sunsari"
"Modern 2 Bed Apartment in Ramanad, Janakpur",apartment,2,3,10865,8/4/2025,TRUE,"Ramanad, Janakpur"
"Cozy 3 Bed Apartment in Samakhushi, Kathmandu",apartment,3,3,13992,9/17/2025,TRUE,"Samakhushi, Kathmandu"
"Charming 3 Bed House in Rabi 5, Panchthar",house,3,3,24700,9/23/2025,FALSE,"Rabi 5, Panchthar"
"Cozy 3 Bed Apartment in Kamalamai-12, Sindhuli",apartment,3,3,10721,8/16/2025,FALSE,"Kamalamai-12, Sindhuli"
"Spacious 3 Bed Apartment in Simli, Rukum",apartment,3,1,12837,9/24/2025,FALSE,"Simli, Rukum"
"Cozy 3 Bed House in Birendranagar NaPa 10, Khaj, Surkhet",house,3,4,20532,8/20/2025,TRUE,"Birendranagar NaPa 10, Khaj, Surkhet"
"Spacious 3 Bed Apartment in Bidur 9, Colony, Nuwakot",apartment,3,2,12812,7/12/2025,FALSE,"Bidur 9, Colony, Nuwakot"
"Modern Room in Mangal Bazar, Lalitpur",room,1,1,5411,7/22/2025,TRUE,"Mangal Bazar, Lalitpur"
"Modern 2 Bed Apartment in Lalmatiya, Dang",apartment,2,3,11450,8/6/2025,TRUE,"Lalmatiya, Dang"
"Elegant Room in Samakhushi Out of Ringroad, Kathmandu",room,1,1,7883,7/5/2025,TRUE,"Samakhushi Out of Ringroad, Kathmandu"
"Cozy 3 Bed House in Minbhawan, Kathmandu",house,3,4,24896,7/31/2025,TRUE,"Minbhawan, Kathmandu"
"Spacious 2 Bed Apartment in Bajura, Bajura",apartment,2,3,10866,7/26/2025,FALSE,"Bajura, Bajura"
"Bright 2 Bed House in Banganga, Kapilbastu",house,2,1,20250,8/21/2025,TRUE,"Banganga, Kapilbastu"
"Bright Room in Dhanghadhi Sub Metropolitan 1, Joshi Tole, Kailali",room,1,1,5277,7/14/2025,TRUE,"Dhanghadhi Sub Metropolitan 1, Joshi Tole, Kailali"
"Modern Room in Thahity, Kathmandu",room,1,1,5146,7/17/2025,TRUE,"Thahity, Kathmandu"
"Modern 3 Bed Apartment in Kalikasthan, Dillibazar, Kathmandu",apartment,3,3,10476,9/12/2025,TRUE,"Kalikasthan, Dillibazar, Kathmandu"
"Charming 2 Bed House in Malunga, Syangja",house,2,1,22748,7/17/2025,FALSE,"Malunga, Syangja"
"Elegant 3 Bed Apartment in Kumarbarti 7, Nawalparashi",apartment,3,1,10161,6/28/2025,TRUE,"Kumarbarti 7, Nawalparashi"
"Spacious 2 Bed Apartment in Dhunche, Rasuwa",apartment,2,3,12503,8/25/2025,TRUE,"Dhunche, Rasuwa"
"Modern 3 Bed Apartment in Old Baneswor, Kathmandu",apartment,3,1,13670,8/14/2025,FALSE,"Old Baneswor, Kathmandu"
"Charming 2 Bed Apartment in Bhadrabas, Kathmandu",apartment,2,2,12076,8/10/2025,TRUE,"Bhadrabas, Kathmandu"
"Charming 3 Bed Apartment in Ramchowk, Janakpur",apartment,3,3,13325,7/27/2025,FALSE,"Ramchowk, Janakpur"
"Charming 3 Bed Apartment in Buddhanagar, Kathmandu",apartment,3,3,11298,8/13/2025,FALSE,"Buddhanagar, Kathmandu"
"Charming 3 Bed House in Debdaha-5, Rupandehi",house,3,1,17609,7/13/2025,TRUE,"Debdaha-5, Rupandehi"
"Elegant 2 Bed Apartment in Sano Thimi, Bhaktapur",apartment,2,1,11376,9/1/2025,FALSE,"Sano Thimi, Bhaktapur"
"Modern Room in Gurungchauri, Thoksila-7, Udayapur",room,1,1,5966,8/20/2025,FALSE,"Gurungchauri, Thoksila-7, Udayapur"
"Spacious 2 Bed Apartment in Tutepani (near Satdobato), Lalitpur",apartment,2,1,11488,7/7/2025,FALSE,"Tutepani (near Satdobato), Lalitpur"
"Bright 4 Bed House in Shantinagar 3, Dang",house,4,2,15536,9/14/2025,FALSE,"Shantinagar 3, Dang"
"Elegant 3 Bed Apartment in Giddha Belapatti 2, Dhanusha",apartment,3,1,14681,9/16/2025,FALSE,"Giddha Belapatti 2, Dhanusha"
"Elegant 3 Bed Apartment in Mangalbare, Ilam",apartment,3,2,10762,8/10/2025,TRUE,"Mangalbare, Ilam"
"Elegant 3 Bed Apartment in Panchkhal, Kavrepalanchowk",apartment,3,2,12589,9/16/2025,FALSE,"Panchkhal, Kavrepalanchowk"
"Charming 4 Bed House in Matela-3, Bagadgaun, Bajhang",house,4,1,19531,9/12/2025,FALSE,"Matela-3, Bagadgaun, Bajhang"
"Spacious 2 Bed Apartment in Tarang VDC, Gulmi",apartment,2,1,14936,6/29/2025,TRUE,"Tarang VDC, Gulmi"
"Modern 4 Bed House in Bouddha, Kathmandu",house,4,1,18433,7/13/2025,FALSE,"Bouddha, Kathmandu"
"Charming Room in Janakpur, Dhanusha",room,1,1,7323,7/6/2025,FALSE,"Janakpur, Dhanusha"
"Charming 2 Bed Apartment in Mahendranagar-06, Kanchanpur",apartment,2,2,12715,8/2/2025,TRUE,"Mahendranagar-06, Kanchanpur"
"Modern 3 Bed Apartment in Topgachhi, BuddaShanti",apartment,3,1,11306,8/23/2025,TRUE,"Topgachhi, BuddaShanti"
"Spacious Room in Ka.Ma.Na.Pa. Ward No. 32, Koteswor, Kathmandu",room,1,1,5698,8/3/2025,TRUE,"Ka.Ma.Na.Pa. Ward No. 32, Koteswor, Kathmandu"
"Elegant 3 Bed Apartment in Palungtar, Gorkha",apartment,3,2,13970,9/21/2025,TRUE,"Palungtar, Gorkha"
"Spacious 3 Bed Apartment in Ka.Ma.Na.Pa. 34, Mid Baneswor, Kathmandu",apartment,3,2,14268,9/9/2025,FALSE,"Ka.Ma.Na.Pa. 34, Mid Baneswor, Kathmandu"
"Bright 2 Bed Apartment in Ramati, Nuwakot",apartment,2,3,14970,7/19/2025,FALSE,"Ramati, Nuwakot"
"Cozy 3 Bed Apartment in Chokde, Nuwakot",apartment,3,2,10470,7/1/2025,TRUE,"Chokde, Nuwakot"
"Charming 3 Bed Apartment in Dattu, Darchula",apartment,3,2,13358,7/14/2025,FALSE,"Dattu, Darchula"
"Bright 2 Bed House in Khudi-Dhungepatan, Pokhara Metropolitan-30, Kaski",house,2,4,17837,7/28/2025,TRUE,"Khudi-Dhungepatan, Pokhara Metropolitan-30, Kaski"
"Modern 3 Bed House in Sukepokhari, Harion, Sarlahi",house,3,2,15982,8/24/2025,FALSE,"Sukepokhari, Harion, Sarlahi"
"Elegant 2 Bed Apartment in Kamalamai, Sindhuli",apartment,2,1,12656,9/6/2025,TRUE,"Kamalamai, Sindhuli"
"Spacious 3 Bed House in Kantipath, Kathmandu",house,3,1,18699,9/9/2025,TRUE,"Kantipath, Kathmandu"
"Modern Room in Bansbari, Kathmandu",room,1,1,5594,8/21/2025,FALSE,"Bansbari, Kathmandu"
"Elegant Room in Tripureswor, Kathmandu",room,1,1,7474,6/30/2025,FALSE,"Tripureswor, Kathmandu"
"Bright Room in KaMaNaPa 35, Subidhanagar, Kathmandu",room,1,1,8756,8/5/2025,FALSE,"KaMaNaPa 35, Subidhanagar, Kathmandu"
"Elegant 4 Bed House in Triyuga-2, Gaighat, Udayapur",house,4,2,17355,9/20/2025,FALSE,"Triyuga-2, Gaighat, Udayapur"
"Spacious Room in Kuleswor, Kathmandu",room,1,1,7444,9/3/2025,TRUE,"Kuleswor, Kathmandu"
"Charming 2 Bed House in Sukhipur, Siraha",house,2,2,20380,9/16/2025,TRUE,"Sukhipur, Siraha"
"Modern 3 Bed House in Tilepata, Dailekh",house,3,3,15689,9/10/2025,FALSE,"Tilepata, Dailekh"
"Charming 4 Bed House in KaMaNaPa Tarun Marga, Balaju Bypass, Kathmandu",house,4,2,19604,9/15/2025,TRUE,"KaMaNaPa Tarun Marga, Balaju Bypass, Kathmandu"
"Cozy 2 Bed House in Thahity, Kathmandu",house,2,3,21832,8/31/2025,TRUE,"Thahity, Kathmandu"
"Cozy 3 Bed House in Jitpur-5, Dhankuta",house,3,4,21615,8/23/2025,TRUE,"Jitpur-5, Dhankuta"
"Spacious 2 Bed House in Janakpur 9 Basikot, Dhanusha",house,2,1,23000,8/7/2025,TRUE,"Janakpur 9 Basikot, Dhanusha"
"Cozy 3 Bed Apartment in Rauta, Udayapur",apartment,3,1,12326,6/27/2025,TRUE,"Rauta, Udayapur"
"Charming 2 Bed House in Itahari, Sunsari",house,2,1,16096,9/8/2025,TRUE,"Itahari, Sunsari"
"Spacious Room in Thimi, Bhaktapur",room,1,1,6413,8/17/2025,FALSE,"Thimi, Bhaktapur"
"Modern Room in Kimuchaur, Salyan",room,1,1,8807,7/19/2025,TRUE,"Kimuchaur, Salyan"
"Spacious 4 Bed House in Khimti, Ramechhap",house,4,2,17197,8/25/2025,TRUE,"Khimti, Ramechhap"
"Charming 2 Bed House in Namdu3, Dolakha",house,2,3,18229,9/13/2025,TRUE,"Namdu3, Dolakha"
"Charming 4 Bed House in Tulsipur, Dang",house,4,1,22187,8/24/2025,TRUE,"Tulsipur, Dang"
"Spacious Room in Sano Gaucharan, Kathmandu",room,1,1,5805,8/17/2025,FALSE,"Sano Gaucharan, Kathmandu"
"Charming Room in Nilkantha, Dhading",room,1,1,6475,8/2/2025,TRUE,"Nilkantha, Dhading"
"Bright 4 Bed House in Dodhara, Kanchanpur",house,4,1,23531,7/18/2025,TRUE,"Dodhara, Kanchanpur"
"Elegant 4 Bed House in Baudhha 6, Kathmandu",house,4,3,15608,8/17/2025,TRUE,"Baudhha 6, Kathmandu"
"Charming Room in Dhangadhi Municipality-2, Kailali",room,1,1,5964,7/14/2025,FALSE,"Dhangadhi Municipality-2, Kailali"
"Charming 2 Bed Apartment in Baneshwor, Kathmandu",apartment,2,1,12315,8/13/2025,TRUE,"Baneshwor, Kathmandu"
"Bright 2 Bed Apartment in Kankai Na.Pa 3, Jhapa",apartment,2,1,12283,9/3/2025,TRUE,"Kankai Na.Pa 3, Jhapa"
"Elegant 2 Bed Apartment in Debighat, Nuwakot",apartment,2,2,10920,9/7/2025,TRUE,"Debighat, Nuwakot"
"Cozy 2 Bed Apartment in Godawari NP-1, Kailali",apartment,2,2,12987,7/17/2025,FALSE,"Godawari NP-1, Kailali"
"Elegant Room in Chyashal, Lalitpur",room,1,1,6629,9/1/2025,TRUE,"Chyashal, Lalitpur"
"Bright 3 Bed House in Dillibazar Height, Kathmandu",house,3,4,17073,8/1/2025,TRUE,"Dillibazar Height, Kathmandu"
"Cozy Room in Hetauda 4, Kantirajpath, Makawanpur",room,1,1,6167,9/12/2025,TRUE,"Hetauda 4, Kantirajpath, Makawanpur"
"Charming 3 Bed Apartment in Lainchaur, Kathmandu",apartment,3,2,12945,9/16/2025,TRUE,"Lainchaur, Kathmandu"
"Spacious Room in Balwa, Mahottari",room,1,1,5347,9/5/2025,TRUE,"Balwa, Mahottari"
"Spacious 2 Bed Apartment in Sinam, Taplejung",apartment,2,1,10125,7/25/2025,FALSE,"Sinam, Taplejung"
"Charming Room in Karfok, Ilam",room,1,1,7647,6/28/2025,TRUE,"Karfok, Ilam"
"Bright Room in Rauleswor, Baitadi",room,1,1,7173,9/21/2025,TRUE,"Rauleswor, Baitadi"
"Modern 2 Bed Apartment in Kirtipur, Kathmandu",apartment,2,3,11341,7/27/2025,TRUE,"Kirtipur, Kathmandu"
"Spacious 2 Bed Apartment in Narayan Sthan, Balewa, Baglung",apartment,2,3,10636,7/24/2025,FALSE,"Narayan Sthan, Balewa, Baglung"
"Bright Room in Trishuli, Nuwakot",room,1,1,9064,8/29/2025,TRUE,"Trishuli, Nuwakot"
"Cozy Room in Sukedhara 4, Kathmandu",room,1,1,5449,9/15/2025,TRUE,"Sukedhara 4, Kathmandu"
"Elegant 2 Bed House in Shivapur, Kapilbastu",house,2,4,23514,9/8/2025,FALSE,"Shivapur, Kapilbastu"
"Spacious 3 Bed Apartment in Magaragadhi-2, Jayanagar, Bardiya",apartment,3,2,12320,8/31/2025,FALSE,"Magaragadhi-2, Jayanagar, Bardiya"
"Modern 2 Bed Apartment in Jugar, Rolpa",apartment,2,1,14395,8/22/2025,TRUE,"Jugar, Rolpa"
"Bright 2 Bed House in Katharia, Rautahat",house,2,2,20701,7/21/2025,TRUE,"Katharia, Rautahat"
"Cozy Room in Dhankuta Na.Pa., Dhankuta",room,1,1,5767,8/16/2025,TRUE,"Dhankuta Na.Pa., Dhankuta"
"Cozy Room in Khajura, Banke",room,1,1,6958,6/28/2025,FALSE,"Khajura, Banke"
"Spacious 4 Bed House in Sankhuwasava, Sankhuwasava",house,4,1,19562,8/7/2025,FALSE,"Sankhuwasava, Sankhuwasava"
"Bright 2 Bed Apartment in Haripur-9, Sarlahi",apartment,2,3,12395,6/28/2025,TRUE,"Haripur-9, Sarlahi"
"Modern 2 Bed Apartment in Ghorahi, Dang",apartment,2,3,10912,8/18/2025,FALSE,"Ghorahi, Dang"
"Spacious 2 Bed House in Ratna Nagar, Jaya Mangala 3, Chitwan",house,2,3,21049,6/28/2025,TRUE,"Ratna Nagar, Jaya Mangala 3, Chitwan"
"Spacious 2 Bed House in Budhanilkhanta, Kathmandu",house,2,2,16350,7/2/2025,FALSE,"Budhanilkhanta, Kathmandu"
"Elegant 3 Bed House in Kumaripati, Lalitpur",house,3,1,19215,7/1/2025,FALSE,"Kumaripati, Lalitpur"
"Spacious 3 Bed House in Baluwatar (Subarna Shamsher Marg), Kathmandu",house,3,2,16621,8/6/2025,TRUE,"Baluwatar (Subarna Shamsher Marg), Kathmandu"
"Charming Room in Dingla, Bhojpur",room,1,1,6219,7/28/2025,TRUE,"Dingla, Bhojpur"
"Bright Room in Ghorahi Sub-Metropolitan-15, Dang",room,1,1,5623,9/18/2025,FALSE,"Ghorahi Sub-Metropolitan-15, Dang"
"Spacious 2 Bed Apartment in Sinamangal-9, Kathmandu",apartment,2,3,13011,7/20/2025,TRUE,"Sinamangal-9, Kathmandu"
"Charming Room in Banepa 10, Kavrepalanchowk",room,1,1,6529,7/9/2025,TRUE,"Banepa 10, Kavrepalanchowk"
"Bright 3 Bed Apartment in Bhaktapur N.P-17, Bhaktapur",apartment,3,3,14451,9/3/2025,FALSE,"Bhaktapur N.P-17, Bhaktapur"
"Elegant Room in Pakhribas, Dhankuta",room,1,1,5241,8/21/2025,FALSE,"Pakhribas, Dhankuta"
"Bright Room in Shankhamul, Kathmandu",room,1,1,8242,7/22/2025,TRUE,"Shankhamul, Kathmandu"
"Elegant 3 Bed Apartment in Shankhadhar Chowk, Bhaktapur",apartment,3,1,12844,8/29/2025,TRUE,"Shankhadhar Chowk, Bhaktapur"
"Elegant 2 Bed Apartment in Shantinagar, Kathmandu",apartment,2,2,12217,8/22/2025,TRUE,"Shantinagar, Kathmandu"
"Spacious Room in Talchikhel, Satdobato, , Lalitpur",room,1,1,5340,7/4/2025,TRUE,"Talchikhel, Satdobato, , Lalitpur"
"Charming Room in Anandabagh, Taulihawa, Kapilbastu",room,1,1,6548,7/24/2025,FALSE,"Anandabagh, Taulihawa, Kapilbastu"
"Cozy 4 Bed House in Dhapa, Jumla",house,4,1,19638,7/16/2025,FALSE,"Dhapa, Jumla"
"Elegant 2 Bed Apartment in Maitidevi, Kathmandu",apartment,2,3,10346,7/26/2025,TRUE,"Maitidevi, Kathmandu"
"Modern Room in Barhadashi Gaupalika 3, Jhapa",room,1,1,7753,8/22/2025,FALSE,"Barhadashi Gaupalika 3, Jhapa"
"Charming Room in Kerabari 2, Morang",room,1,1,7487,7/13/2025,TRUE,"Kerabari 2, Morang"
"Cozy 3 Bed Apartment in Gaidakot, Nawalparasi",apartment,3,1,11244,9/5/2025,TRUE,"Gaidakot, Nawalparasi"
"Spacious Room in Lalitpur Upa NaPa 6 LalgitapnukrhMeul nicipality-9, , Lalitpur",room,1,1,8765,8/21/2025,FALSE,"Lalitpur Upa NaPa 6 LalgitapnukrhMeul nicipality-9, , Lalitpur"
"Cozy 3 Bed Apartment in Ichangu Narayan 6, Kathmandu",apartment,3,3,13411,7/20/2025,FALSE,"Ichangu Narayan 6, Kathmandu"
"Cozy 4 Bed House in Koteswor, Kathmandu",house,4,2,18343,8/1/2025,TRUE,"Koteswor, Kathmandu"
"Modern 3 Bed House in Lahan 1, Siraha",house,3,1,19594,7/31/2025,TRUE,"Lahan 1, Siraha"
"Elegant 2 Bed Apartment in Bageswari-1, Bhaktapur",apartment,2,3,11883,7/29/2025,FALSE,"Bageswari-1, Bhaktapur"
"Charming 3 Bed House in Ringneraha3, Palpa",house,3,1,21569,8/7/2025,TRUE,"Ringneraha3, Palpa"
"Bright Room in Pokhara, Kaski",room,1,1,8291,7/19/2025,TRUE,"Pokhara, Kaski"
"Modern 3 Bed Apartment in Gothatar 8, Kathmandu",apartment,3,2,10762,9/15/2025,TRUE,"Gothatar 8, Kathmandu"
"Bright 3 Bed Apartment in Chandranigahapur, Rautahat",apartment,3,3,14318,9/15/2025,FALSE,"Chandranigahapur, Rautahat"
"Charming 3 Bed Apartment in Tripura Na. Pa. 4, Dang",apartment,3,3,13020,7/24/2025,FALSE,"Tripura Na. Pa. 4, Dang"
"Spacious 2 Bed House in Baphal, Kathmandu",house,2,1,18364,7/23/2025,TRUE,"Baphal, Kathmandu"
"Elegant 4 Bed House in Dayanagar, Rupandehi",house,4,3,20994,7/12/2025,TRUE,"Dayanagar, Rupandehi"
"Elegant Room in Lekhnath, Kaski",room,1,1,7512,7/27/2025,TRUE,"Lekhnath, Kaski"
"Modern 3 Bed House in Phosretar, Sindhuli",house,3,2,20064,8/21/2025,TRUE,"Phosretar, Sindhuli"
"Cozy Room in Kalika NaPa Ward No. 7, Chitwan",room,1,1,8899,7/24/2025,TRUE,"Kalika NaPa Ward No. 7, Chitwan"
"Charming Room in Dhumbarahi 4, Kathmandu",room,1,1,6159,8/31/2025,FALSE,"Dhumbarahi 4, Kathmandu"
"Spacious 2 Bed Apartment in Dhulabari, Mechinagar",apartment,2,3,13254,8/26/2025,TRUE,"Dhulabari, Mechinagar"
"Elegant 3 Bed Apartment in Letang, Morang",apartment,3,1,12238,7/12/2025,FALSE,"Letang, Morang"
"Charming 3 Bed Apartment in Phulbari, Kailali",apartment,3,3,11525,8/15/2025,TRUE,"Phulbari, Kailali"
"Modern Room in Sundarbazar, Lamjung",room,1,1,5547,6/27/2025,FALSE,"Sundarbazar, Lamjung"
"Cozy Room in Beltar 5, Udayapur",room,1,1,7598,7/15/2025,TRUE,"Beltar 5, Udayapur"
"Bright Room in Mohanpur, Kamalpur, Siraha",room,1,1,8783,9/8/2025,FALSE,"Mohanpur, Kamalpur, Siraha"
"Elegant 2 Bed House in Raghar, Nawalparasi",house,2,2,19269,7/16/2025,TRUE,"Raghar, Nawalparasi"
"Elegant 2 Bed Apartment in Banepa-5, Kavrepalanchowk",apartment,2,3,13721,8/25/2025,FALSE,"Banepa-5, Kavrepalanchowk"
"Elegant 3 Bed House in Magalsen, Achham",house,3,1,16220,8/29/2025,FALSE,"Magalsen, Achham"
"Spacious 2 Bed Apartment in Binayak 7, Achham",apartment,2,2,13323,8/9/2025,TRUE,"Binayak 7, Achham"
"Spacious 3 Bed Apartment in Salyan, Solukhumbu",apartment,3,3,11675,8/7/2025,TRUE,"Salyan, Solukhumbu"
"Modern Room in Ramgopalpur, Mahottari",room,1,1,5578,9/5/2025,FALSE,"Ramgopalpur, Mahottari"
"Elegant Room in Pulchwok, Lalitpur",room,1,1,5079,9/23/2025,TRUE,"Pulchwok, Lalitpur"
"Elegant 2 Bed Apartment in Jorpati, Kathmandu",apartment,2,2,13274,9/24/2025,FALSE,"Jorpati, Kathmandu"
"Spacious 3 Bed Apartment in Kharpa 4, Khotang",apartment,3,3,13001,9/8/2025,FALSE,"Kharpa 4, Khotang"
"Bright 3 Bed Apartment in Rangeli, Morang",apartment,3,3,11768,9/7/2025,FALSE,"Rangeli, Morang"
"Modern Room in Malangwa, Sarlahi",room,1,1,6436,8/19/2025,TRUE,"Malangwa, Sarlahi"
"Bright 3 Bed Apartment in Ramgram-3, Nawalparasi",apartment,3,3,12996,9/14/2025,TRUE,"Ramgram-3, Nawalparasi"
"Charming 3 Bed Apartment in Kurintar, Chitwan",apartment,3,2,13053,7/1/2025,TRUE,"Kurintar, Chitwan"
"Bright Room in Tupche, Nuwakot",room,1,1,8186,8/7/2025,TRUE,"Tupche, Nuwakot"
"Cozy Room in Okhaldhunga, Okhaldhunga",room,1,1,6873,9/15/2025,FALSE,"Okhaldhunga, Okhaldhunga"
"Bright 2 Bed Apartment in Sanepa 2, Lalitpur",apartment,2,2,10597,9/12/2025,FALSE,"Sanepa 2, Lalitpur"
"Cozy 3 Bed House in Patan, Lalitpur",house,3,3,24312,6/29/2025,FALSE,"Patan, Lalitpur"
"Elegant 3 Bed Apartment in Pokhara, Kasti",apartment,3,3,10197,9/22/2025,FALSE,"Pokhara, Kasti"
"Modern Room in Ka.Ma.Na.Pa. 32, Koteswor, Kathmandu",room,1,1,9836,9/11/2025,TRUE,"Ka.Ma.Na.Pa. 32, Koteswor, Kathmandu"
"Cozy 4 Bed House in Bihukot, Baglung",house,4,3,21728,9/12/2025,TRUE,"Bihukot, Baglung"
"Spacious 2 Bed Apartment in Garjumarg, Kathmandu",apartment,2,1,12641,7/21/2025,FALSE,"Garjumarg, Kathmandu"
"Bright Room in Sinamangal (Naya Baneshwor), Kathmandu",room,1,1,6330,7/18/2025,TRUE,"Sinamangal (Naya Baneshwor), Kathmandu"
"Cozy Room in Ka.Ma.Na.Pa. 34, Mid Baneswor, Kathmandu",room,1,1,8080,9/5/2025,TRUE,"Ka.Ma.Na.Pa. 34, Mid Baneswor, Kathmandu"
"Modern 2 Bed House in Nabadurga, Bhaktapur",house,2,2,17744,8/17/2025,TRUE,"Nabadurga, Bhaktapur"
"Modern Room in Jhumka, Sunsari",room,1,1,5752,8/14/2025,FALSE,"Jhumka, Sunsari"
"Spacious Room in Teku, Kathmandu",room,1,1,7732,9/11/2025,TRUE,"Teku, Kathmandu"
"Elegant Room in Maitighar, Kathmandu",room,1,1,9393,8/23/2025,TRUE,"Maitighar, Kathmandu"
"Charming 2 Bed House in Shankarpur, Darchula",house,2,4,21558,9/12/2025,FALSE,"Shankarpur, Darchula"
"Elegant Room in Sallaghari, Bhaktapur",room,1,1,7740,9/4/2025,FALSE,"Sallaghari, Bhaktapur"
"Bright Room in Bharatpur-11, Chitwan",room,1,1,9632,7/14/2025,TRUE,"Bharatpur-11, Chitwan"
"Modern Room in Gurungchauri, Thoksila-7, Udayapur",room,1,1,5172,7/12/2025,FALSE,"Gurungchauri, Thoksila-7, Udayapur"
"Modern 3 Bed Apartment in Shivagang, Jhapa",apartment,3,3,13334,9/20/2025,TRUE,"Shivagang, Jhapa"
"Modern 3 Bed House in Arjunchaupari, Syangja",house,3,1,19034,9/10/2025,TRUE,"Arjunchaupari, Syangja"
"Bright 2 Bed Apartment in Mashyam-2, Palpa",apartment,2,3,10416,9/8/2025,FALSE,"Mashyam-2, Palpa"
"Spacious 2 Bed Apartment in Laharepauwa, Rasuwa",apartment,2,2,10822,9/10/2025,TRUE,"Laharepauwa, Rasuwa"
"Bright 3 Bed Apartment in Batuk Bhairab, Lagankhel, Lalitpur",apartment,3,3,13792,8/15/2025,TRUE,"Batuk Bhairab, Lagankhel, Lalitpur"
"Elegant 2 Bed House in Makar-4, Bardaghat, Nawalparasi",house,2,2,16622,7/6/2025,TRUE,"Makar-4, Bardaghat, Nawalparasi"
"Charming 4 Bed House in Changunarayan, Bhaktapur",house,4,4,17396,7/26/2025,FALSE,"Changunarayan, Bhaktapur"
"Modern 2 Bed House in Naxal, Kathmandu",house,2,4,16490,8/25/2025,TRUE,"Naxal, Kathmandu"
"Elegant 4 Bed House in Bayarban, Ramailo, Morang",house,4,3,16561,9/1/2025,FALSE,"Bayarban, Ramailo, Morang"
"Spacious Room in Bouddha, Kathmandu",room,1,1,7043,8/21/2025,FALSE,"Bouddha, Kathmandu"
"Elegant Room in Tilahar-6, Parbat",room,1,1,6324,7/23/2025,TRUE,"Tilahar-6, Parbat"
"Cozy Room in Jomsom, Mustang",room,1,1,7235,9/9/2025,FALSE,"Jomsom, Mustang"
"Modern Room in Liwali-02, Bhaktapur",room,1,1,5060,8/12/2025,TRUE,"Liwali-02, Bhaktapur"
"Elegant Room in KaMaNaPa 35, Subidhanagar, Kathmandu",room,1,1,5522,7/16/2025,TRUE,"KaMaNaPa 35, Subidhanagar, Kathmandu"
"Spacious 4 Bed House in Chautara, Sindhupalchowk",house,4,4,16818,9/2/2025,FALSE,"Chautara, Sindhupalchowk"
"Modern 2 Bed Apartment in Sukhipur, Siraha",apartment,2,1,12608,7/27/2025,FALSE,"Sukhipur, Siraha"
"Elegant Room in Chabahil-7, Kathmandu",room,1,1,6100,8/23/2025,FALSE,"Chabahil-7, Kathmandu"
"Elegant 3 Bed House in Phattepur 8, Banke",house,3,2,23193,8/4/2025,FALSE,"Phattepur 8, Banke"
"Bright 3 Bed House in Yogikuti, Tilottama-2, Rupandehi",house,3,3,19226,8/31/2025,FALSE,"Yogikuti, Tilottama-2, Rupandehi"
"Elegant Room in Kawasoti, Bulingtar",room,1,1,8555,8/24/2025,TRUE,"Kawasoti, Bulingtar"
"Elegant Room in Kushma, Shibalaya, Parbat",room,1,1,9731,9/20/2025,TRUE,"Kushma, Shibalaya, Parbat"
"Elegant 4 Bed House in Durabr Chhetra, Bhaktapur",house,4,2,19292,6/28/2025,TRUE,"Durabr Chhetra, Bhaktapur"
"Elegant 2 Bed Apartment in Bijulibazar, Kathmandu",apartment,2,1,14838,7/31/2025,TRUE,"Bijulibazar, Kathmandu"
"Bright 2 Bed House in Kanchanpur 7, Saptari",house,2,1,16010,8/2/2025,FALSE,"Kanchanpur 7, Saptari"
"Cozy Room in Ratna Nagar, Chitwan",room,1,1,5908,7/27/2025,FALSE,"Ratna Nagar, Chitwan"
"Elegant 3 Bed Apartment in Melamchi, Sindhupalchowk",apartment,3,3,12588,7/18/2025,FALSE,"Melamchi, Sindhupalchowk"
"Charming 3 Bed Apartment in Chabahil, Kathmandu",apartment,3,1,10390,8/5/2025,TRUE,"Chabahil, Kathmandu"
"Charming Room in Diktel, Khotang",room,1,1,5252,8/11/2025,FALSE,"Diktel, Khotang"
"Spacious 2 Bed House in Khotang Bazar, Khotang",house,2,2,23472,8/12/2025,TRUE,"Khotang Bazar, Khotang"
"Elegant Room in Battisputali, Kathmandu",room,1,1,9282,8/13/2025,TRUE,"Battisputali, Kathmandu"
"Modern Room in Tilahi, Dhanusha",room,1,1,7688,9/6/2025,TRUE,"Tilahi, Dhanusha"
"Bright 2 Bed Apartment in Lalbandi, Sarlahi",apartment,2,2,13445,8/25/2025,TRUE,"Lalbandi, Sarlahi"
"Modern 3 Bed House in Koteswor, Kathmandu",house,3,2,20768,9/9/2025,TRUE,"Koteswor, Kathmandu"
"Modern 3 Bed Apartment in Itahari, Sunsari",apartment,3,1,11882,8/25/2025,TRUE,"Itahari, Sunsari"
"Cozy Room in ., Kathmandu",room,1,1,5757,7/25/2025,TRUE,"., Kathmandu"
"Spacious 4 Bed House in Kanti Marga, New Baneshwor, Kathmandu",house,4,1,16585,7/29/2025,FALSE,"Kanti Marga, New Baneshwor, Kathmandu"
